jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,distribuicao_placares,divisao,grupo
8,,,Eng. Física,Eng. Informática B,679.2,105.4,376.2,118.9,88.4100,0.0000,11.5900,2-0:60.5600%|2-1:27.8500%|0-2:6.2500%|1-2:5.3400%,2,B
8,,,Gestão,Eng. Eletrónica e Telecomunicações B,451.9,119.2,154.7,96.5,88.3900,0.0000,11.6100,2-0:59.6300%|2-1:28.7600%|0-2:6.2500%|1-2:5.3600%,2,B
8,,,MTC,Contabilidade,372.1,116.1,624.5,52.8,13.3600,0.0000,86.6400,0-2:56.2800%|1-2:30.3600%|2-0:7.3800%|2-1:5.9800%,2,B
8,,,Psicologia,Física,166.4,89.4,572.7,105.2,4.5500,0.0000,95.4500,0-2:69.0300%|1-2:26.4200%|2-0:3.0200%|2-1:1.5300%,2,B
9,,,Design,Ciências do Mar,1206.7,58.8,900.0,103.7,91.0700,0.0000,8.9300,2-0:63.2200%|2-1:27.8500%|0-2:5.0000%|1-2:3.9300%,1,
9,,,Eng. Computadores e Telemática,Música,638.0,51.1,783.5,120.0,26.1700,0.0000,73.8300,0-2:42.8600%|1-2:30.9700%|2-1:14.1500%|2-0:12.0200%,1,
9,,,Eng. Eletrónica e Telecomunicações,Línguas e Relações Empresariais,1144.9,41.9,1026.6,111.4,69.5900,0.0000,30.4100,2-0:35.8400%|2-1:33.7500%|1-2:16.6900%|0-2:13.7200%,1,
9,,,Eng. Biomédica,Gestão e Planeamento em Turismo,782.0,74.1,791.2,94.5,49.3300,0.0000,50.6700,1-2:26.5700%|2-1:26.4900%|0-2:24.1000%|2-0:22.8400%,1,
9,,,Eng. Mecânica,Eng. Informática,983.9,97.2,1152.1,111.6,23.5000,0.0000,76.5000,0-2:43.6100%|1-2:32.8900%|2-1:12.4600%|2-0:11.0400%,1,
9,,,Tecnologias de Informação,Eng. e Gestão Industrial,727.6,121.9,1282.6,102.6,1.8800,0.0000,98.1200,0-2:73.2900%|1-2:24.8300%|2-0:1.1300%|2-1:0.7500%,1,
9,,,Administração Pública,Economia,765.9,71.5,399.4,60.5,95.3100,0.0000,4.6900,2-0:70.0800%|2-1:25.2300%|0-2:3.3200%|1-2:1.3700%,2,A
9,,,Biologia,Medicina,667.8,88.0,419.0,79.2,86.7700,0.0000,13.2300,2-0:57.2000%|2-1:29.5700%|0-2:7.1700%|1-2:6.0600%,2,A
9,,,Bioquímica,Eng. do Ambiente,501.0,111.2,684.5,103.7,22.3300,0.0000,77.6700,0-2:48.4900%|1-2:29.1800%|2-0:11.6700%|2-1:10.6600%,2,A
9,,,Biotecnologia,Eng. de Materiais,251.6,57.0,469.2,88.6,15.0100,0.0000,84.9900,0-2:53.1600%|1-2:31.8300%|2-0:8.2600%|2-1:6.7500%,2,A
9,,,Ciências Biomédicas,Fisioterapia,701.6,89.4,947.3,22.1,11.3500,0.0000,88.6500,0-2:57.6200%|1-2:31.0300%|2-0:6.7300%|2-1:4.6200%,2,A
9,,,Contabilidade,Gestão,624.3,63.5,451.9,123.3,77.4200,0.0000,22.5800,2-0:45.3800%|2-1:32.0400%|1-2:12.1900%|0-2:10.3900%,2,B
9,,,Eng. Eletrónica e Telecomunicações B,Eng. Física,154.7,101.7,678.8,109.9,2.3800,0.0000,97.6200,0-2:71.9700%|1-2:25.6500%|2-0:1.6000%|2-1:0.7800%,2,B
9,,,Eng. Civil,Psicologia,438.2,124.5,166.5,91.7,86.5600,0.0000,13.4400,2-0:57.1600%|2-1:29.4000%|0-2:7.2900%|1-2:6.1500%,2,B
9,,,Eng. Informática B,Eng. Computacional,376.6,123.5,315.0,106.1,59.6900,0.0000,40.3100,2-0:32.7000%|2-1:26.9900%|1-2:20.2400%|0-2:20.0700%,2,B
9,,,Matemática,MTC,304.2,92.6,372.3,121.4,39.0000,0.0000,61.0000,0-2:32.9500%|1-2:28.0500%|2-1:20.0700%|2-0:18.9300%,2,B
10,,,Ciências do Mar,Eng. Mecânica,899.7,107.8,983.1,106.3,35.4900,0.0000,64.5100,0-2:35.0100%|1-2:29.5000%|2-0:18.1100%|2-1:17.3800%,1,
10,,,Design,Música,1206.9,65.7,783.4,127.5,96.1100,0.0000,3.8900,2-0:69.6400%|2-1:26.4700%|0-2:2.5000%|1-2:1.3900%,1,
10,,,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,1282.5,104.0,1144.2,63.1,74.0200,0.0000,25.9800,2-0:42.9700%|2-1:31.0500%|0-2:13.1300%|1-2:12.8500%,1,
10,,,Eng. Informática,Tecnologias de Informação,1152.8,118.9,727.7,122.6,94.6500,0.0000,5.3500,2-0:67.7400%|2-1:26.9100%|0-2:3.2100%|1-2:2.1400%,1,
10,,,Gestão e Planeamento em Turismo,Eng. Computadores e Telemática,790.9,106.9,638.1,67.1,75.1100,0.0000,24.8900,2-0:42.4800%|2-1:32.6300%|1-2:13.2400%|0-2:11.6500%,1,
10,,,Línguas e Relações Empresariais,Eng. Biomédica,1027.4,121.2,782.3,89.6,84.0500,0.0000,15.9500,2-0:55.7800%|2-1:28.2700%|1-2:7.9900%|0-2:7.9600%,1,
10,,,Economia,Bioquímica,399.3,64.6,501.2,118.5,32.7000,0.0000,67.3000,0-2:35.9000%|1-2:31.4000%|2-1:17.3800%|2-0:15.3200%,2,A
10,,,Eng. do Ambiente,Biotecnologia,684.3,111.3,251.6,68.7,96.1500,0.0000,3.8500,2-0:69.8000%|2-1:26.3500%|0-2:2.3500%|1-2:1.5000%,2,A
10,,,Eng. de Materiais,Biologia,469.3,96.2,667.8,94.3,19.4500,0.0000,80.5500,0-2:50.7100%|1-2:29.8400%|2-1:9.9700%|2-0:9.4800%,2,A
10,,,Fisioterapia,Administração Pública,947.5,41.3,766.1,75.3,82.0500,0.0000,17.9500,2-0:47.6800%|2-1:34.3700%|0-2:9.7600%|1-2:8.1900%,2,A
10,,,Geologia,Ciências Biomédicas,477.0,92.2,701.5,95.9,15.5400,0.0000,84.4600,0-2:54.2000%|1-2:30.2600%|2-0:8.1300%|2-1:7.4100%,2,A
10,,,Eng. Computacional,Eng. Eletrónica e Telecomunicações B,314.6,115.2,154.9,102.8,75.5700,0.0000,24.4300,2-0:46.1000%|2-1:29.4700%|0-2:12.6200%|1-2:11.8100%,2,B
10,,,Eng. Física,Contabilidade,678.7,111.1,624.7,76.2,60.4100,0.0000,39.5900,2-0:30.3900%|2-1:30.0200%|1-2:20.0400%|0-2:19.5500%,2,B
10,,,Física,Eng. Civil,572.6,107.7,438.1,128.7,69.6300,0.0000,30.3700,2-0:40.6800%|2-1:28.9500%|1-2:16.0800%|0-2:14.2900%,2,B
10,,,Gestão,Matemática,451.5,129.7,303.8,103.7,72.4800,0.0000,27.5200,2-0:43.0300%|2-1:29.4500%|1-2:14.6400%|0-2:12.8800%,2,B
10,,,Psicologia,Eng. Informática B,166.6,98.6,377.0,131.5,19.9200,0.0000,80.0800,0-2:49.7200%|1-2:30.3600%|2-0:10.3200%|2-1:9.6000%,2,B
11,,,Eng. Computadores e Telemática,Línguas e Relações Empresariais,638.4,80.2,1027.0,126.4,6.0100,0.0000,93.9900,0-2:67.4900%|1-2:26.5000%|2-0:3.5800%|2-1:2.4300%,1,
11,,,Eng. Eletrónica e Telecomunicações,Eng. Informática,1144.3,76.8,1152.6,121.2,49.3300,0.0000,50.6700,2-1:25.7000%|1-2:25.5000%|0-2:25.1700%|2-0:23.6300%,1,
11,,,Eng. Biomédica,Eng. e Gestão Industrial,782.7,96.7,1282.4,112.1,2.7000,0.0000,97.3000,0-2:72.3800%|1-2:24.9200%|2-0:1.7400%|2-1:0.9600%,1,
11,,,Eng. Mecânica,Design,982.8,115.3,1207.0,69.0,16.5700,0.0000,83.4300,0-2:52.6300%|1-2:30.8000%|2-0:9.0300%|2-1:7.5400%,1,
11,,,Música,Gestão e Planeamento em Turismo,783.3,129.2,790.5,115.5,49.3900,0.0000,50.6100,0-2:26.5900%|2-0:25.5900%|1-2:24.0200%|2-1:23.8000%,1,
11,,,Tecnologias de Informação,Ciências do Mar,728.0,124.9,900.0,117.0,24.6000,0.0000,75.4000,0-2:45.5900%|1-2:29.8100%|2-1:12.5600%|2-0:12.0400%,1,
11,,,Administração Pública,Geologia,765.8,85.6,476.3,99.0,89.4600,0.0000,10.5400,2-0:62.2600%|2-1:27.2000%|0-2:5.8100%|1-2:4.7300%,2,A
11,,,Biologia,Eng. do Ambiente,667.4,102.1,684.0,113.3,48.0400,0.0000,51.9600,1-2:26.3100%|0-2:25.6500%|2-1:25.1800%|2-0:22.8600%,2,A
11,,,Bioquímica,Fisioterapia,501.5,126.9,947.7,58.2,3.3100,0.0000,96.6900,0-2:71.3300%|1-2:25.3600%|2-0:1.9800%|2-1:1.3300%,2,A
11,,,Biotecnologia,Economia,251.8,71.9,399.0,79.5,24.0200,0.0000,75.9800,0-2:42.5700%|1-2:33.4100%|2-1:12.3800%|2-0:11.6400%,2,A
11,,,Medicina,Eng. de Materiais,419.1,86.5,469.6,103.7,40.9800,0.0000,59.0200,0-2:29.7600%|1-2:29.2600%|2-1:21.8100%|2-0:19.1700%,2,A
11,,,Contabilidade,Eng. Computacional,624.6,90.1,315.2,122.4,89.5500,0.0000,10.4500,2-0:61.3400%|2-1:28.2100%|0-2:6.0000%|1-2:4.4500%,2,B
11,,,Eng. Eletrónica e Telecomunicações B,Psicologia,154.2,109.3,166.7,105.2,47.6300,0.0000,52.3700,1-2:27.0300%|0-2:25.3400%|2-1:25.1500%|2-0:22.4800%,2,B
11,,,Eng. Informática B,Física,377.0,137.3,572.2,116.2,22.8800,0.0000,77.1200,0-2:48.0700%|1-2:29.0500%|2-1:11.9100%|2-0:10.9700%,2,B
11,,,MTC,Gestão,372.7,129.5,452.0,135.8,38.6700,0.0000,61.3300,0-2:34.8000%|1-2:26.5300%|2-1:19.3400%|2-0:19.3300%,2,B
11,,,Matemática,Eng. Física,303.3,112.3,678.9,120.6,7.3800,0.0000,92.6200,0-2:65.7700%|1-2:26.8500%|2-0:4.2200%|2-1:3.1600%,2,B
